Iteration,Time,p0_x,p0_y,p0_z,p0_vx,p0_vy,p0_vz,p0_fx,p0_fy,p0_fz
38,38,17.2805526825021,16,16,0.0588184165488281,0,0,-1.44637724113233,6.22223626789431e-16,2.26828647011124e-16
39,39,17.3401073481563,16,16,0.0595546656541974,0,0,-1.37381103812703,1.76940778110098e-15,3.04877650902924e-16
40,40,17.400339489651,16,16,0.060232141494688,0,0,-1.30737499479166,7.28411065189019e-16,-5.66604055340925e-16
41,41,17.4611896651345,16,16,0.0608501754834379,0,0,-1.24878222957871,5.99326632159253e-16,-8.3669236903422e-16
42,42,17.52259782283,16,16,0.0614081576955164,0,0,-1.19829802904097,2.97846599814355e-15,7.03525237198688e-16
43,43,17.5845033602998,16,16,0.0619055374698461,0,0,-1.1537058159891,6.95705429029636e-16,7.32202384660929e-16
44,44,17.6468451842525,16,16,0.0623418239526391,0,0,-1.10361905731438,3.14898050668942e-16,1.53197936378791e-15
45,45,17.7095617708343,16,16,0.0627165865818106,0,0,-1.05147421113413,-9.15452880601714e-16,6.82047869788108e-16
46,46,17.7725912263462,16,16,0.0630294555118911,0,0,-1.00188950409109,-2.14386241235726e-15,3.00540842212982e-16
47,47,17.8358713483252,16,16,0.0632801219790197,0,0,-0.940220955652877,3.00845774073993e-16,7.67547375483957e-17
48,48,17.8993396869308,16,16,0.0634683386056567,0,0,-0.847002425430917,1.97839113797935e-15,7.28068863878328e-16
49,49,17.9629336065756,16,16,0.0635939196447153,0,0,-0.742247714506629,-3.32897500798096e-16,-8.00195413402927e-16
50,50,18.0265903477384,16,16,0.0636567411628716,0,0,-0.686879311027227,-4.52451119105357e-17,-9.10607852143419e-16
51,51,18.0902470889013,16,16,0.0636567411628716,0,0,-0.648592033475511,4.57533316788883e-16,-1.21310025826687e-15
